"date","open","high","low","close","adj_close","volume","ma_200","ma_50","ma_21","ma_7"
"2020-01-06","73.4475","74.99","73.1875","74.95","73.9608","118387200","55.2029","67.1478","70.4675","73.6593"
"2020-01-07","74.96","75.225","74.37","74.5975","73.6129","108872000","55.3371","67.4218","70.8581","73.9621"
"2020-01-08","74.29","76.11","74.29","75.7975","74.7971","132079200","55.4801","67.7048","71.2448","74.4404"
"2020-01-09","76.81","77.6075","76.55","77.4075","76.3858","170108400","55.6337","68.0078","71.7532","75.0871"
"2020-01-10","77.65","78.1675","77.0625","77.5825","76.5585","140644800","55.786","68.3429","72.2514","75.6829"
"2020-01-13","77.91","79.2675","77.7875","79.24","78.1941","121532000","55.9463","68.7114","72.8013","76.2761"
"2020-01-14","79.175","79.3925","78.0425","78.17","77.1383","161954400","56.0997","69.0311","73.292","76.8207"
"2020-01-15","77.9625","78.875","77.3875","77.835","76.8077","121923600","56.2498","69.3086","73.7229","77.2329"
"2020-01-16","78.3975","78.925","78.0225","78.81","77.7698","108829200","56.4014","69.5974","74.144","77.8346"
"2020-01-17","79.0675","79.685","78.75","79.6825","78.6308","137816400","56.5556","69.9053","74.6002","78.3896"
"2020-01-21","79.2975","79.755","79","79.1425","78.0979","110843200","56.7067","70.202","75.0387","78.6375"
"2020-01-22","79.645","79.9975","79.3275","79.425","78.3767","101832400","56.8576","70.4933","75.4873","78.9007"
"2020-01-23","79.48","79.89","78.9125","79.8075","78.7542","104472000","57.0065","70.7888","75.961","78.9818"
"2020-01-24","80.0625","80.8325","79.38","79.5775","78.5272","146537600","57.155","71.0694","76.3694","79.1829"
"2020-01-27","77.515","77.9425","76.22","77.2375","76.2181","161940000","57.2904","71.3043","76.6632","79.0975"
"2020-01-28","78.15","79.6","78.0475","79.4225","78.3742","162234000","57.4388","71.5704","76.9939","79.185"
"2020-01-29","81.1125","81.9625","80.345","81.085","80.0148","216229200","57.5957","71.8789","77.4051","79.3854"
"2020-01-30","80.135","81.0225","79.6875","80.9675","79.8988","126743200","57.7515","72.1694","77.7902","79.6461"
"2020-01-31","80.2325","80.67","77.0725","77.3775","76.3562","199588400","57.8893","72.3815","77.979","79.3536"
"2020-02-03","76.075","78.3725","75.555","77.165","76.1465","173788400","58.0212","72.5934","78.078","78.9761"
"2020-02-04","78.8275","79.91","78.4075","79.7125","78.6604","136616400","58.1649","72.8717","78.333","78.9954"
"2020-02-05","80.88","81.19","79.7375","80.3625","79.3018","118826800","58.3111","73.1688","78.5907","79.4418"
"2020-02-06","80.6425","81.305","80.065","81.3025","80.2294","105425600","58.4582","73.486","78.91","79.7104"
"2020-02-07","80.5925","80.85","79.5","80.0075","79.1389","117684000","58.5993","73.7543","79.1105","79.5564"
"2020-02-10","78.545","80.3875","78.4625","80.3875","79.5148","109348800","58.7447","74.0406","79.2524","79.4736"
"2020-02-11","80.9","80.975","79.6775","79.9025","79.035","94323200","58.8888","74.2994","79.3629","79.8343"
"2020-02-12","80.3675","81.805","80.3675","81.8","80.9119","113730400","59.042","74.5992","79.4848","80.4964"
"2020-02-13","81.0475","81.555","80.8375","81.2175","80.3358","94747600","59.1973","74.9027","79.6299","80.7114"
