"date","open","high","low","close","adj_close","volume"
"2007-05-29",4.0875,4.10214,4.02464,4.08393,3.49183,645694000
"2007-05-30",4.08214,4.24571,4.05464,4.24179,3.6268,1478444800
"2007-05-31",4.28821,4.36321,4.26929,4.32821,3.7007,1297066400
"2007-06-01",4.325,4.32821,4.22464,4.22857,3.6155,885262000
"2007-06-04",4.23679,4.3475,4.21071,4.33321,3.70497,886673200
"2007-06-05",4.33607,4.38179,4.30357,4.38107,3.74589,920785600
"2007-06-06",4.36786,4.43036,4.35536,4.41571,3.77552,1112241200
"2007-06-07",4.46393,4.5575,4.39964,4.43107,3.78865,1915079600
"2007-06-08",4.49357,4.49393,4.3675,4.44607,3.80147,1241682400
"2007-06-11",4.5,4.50536,4.26929,4.2925,3.67017,1874258400
"2007-06-12",4.2625,4.34679,4.22536,4.29929,3.67597,1426566400
"2007-06-13",4.32679,4.32821,4.12143,4.19643,3.58802,1721353200
"2007-06-14",4.18571,4.26607,4.15786,4.24107,3.62619,973266000
"2007-06-15",4.30786,4.30964,4.28071,4.30357,3.67963,811218800
"2007-06-18",4.40286,4.47071,4.37643,4.4675,3.81979,910604800
"2007-06-19",4.45321,4.46464,4.38964,4.41643,3.77613,943026000
"2007-06-20",4.42393,4.45214,4.33929,4.34107,3.71169,897512000
"2007-06-21",4.34643,4.43893,4.31143,4.425,3.78345,867045200
"2007-06-22",4.42321,4.44464,4.37071,4.39286,3.75597,631876000
"2007-06-25",4.43536,4.4675,4.32357,4.36929,3.73582,965403600
"2007-06-26",4.42786,4.42857,4.24,4.27321,3.65368,1345005200
"2007-06-27",4.3075,4.35857,4.25929,4.35321,3.72208,974696800
"2007-06-28",4.37,4.37464,4.28571,4.30571,3.68146,838143600
"2007-06-29",4.35607,4.42857,4.32464,4.35857,3.72666,1137841600
"2007-07-02",4.32321,4.36036,4.26071,4.33071,3.70284,994862400
"2007-07-03",4.35714,4.55,4.33929,4.54179,3.88331,1162481600
"2007-07-05",4.6,4.74893,4.59607,4.74107,4.0537,1453051600
"2007-07-06",4.75464,4.76214,4.65714,4.725,4.03996,874694800
"2007-07-09",4.72786,4.74643,4.61357,4.65464,3.9798,995820000
"2007-07-10",4.60286,4.80357,4.60036,4.72679,4.04149,1255007600
"2007-07-11",4.71679,4.775,4.68964,4.72821,4.04271,821772000
"2007-07-12",4.78036,4.79429,4.72821,4.78821,4.09401,704608800
"2007-07-13",4.8225,4.92321,4.80429,4.91893,4.20577,907606000
"2007-07-16",4.9425,4.99929,4.91071,4.93214,4.21707,936112800
"2007-07-17",4.93929,4.98571,4.91071,4.96107,4.24181,709959600
"2007-07-18",4.93536,4.94429,4.85857,4.93286,4.21768,756856800
"2007-07-19",5.01071,5.02893,4.9875,5,4.27509,732891600
"2007-07-20",5.05893,5.14929,5,5.13393,4.3896,1167773600
"2007-07-23",5.11821,5.18643,5.03321,5.13214,4.38807,1036490000
"2007-07-24",4.96,5.03571,4.79107,4.8175,4.11905,1795292800
"2007-07-25",4.90536,4.94143,4.82143,4.90214,4.19142,1496182800
"2007-07-26",5.21107,5.30357,4.89143,5.21429,4.45831,2186629200
"2007-07-27",5.22107,5.31857,5.135,5.1375,4.39265,1161098400
"2007-07-30",5.15464,5.19464,4.98464,5.05107,4.31876,1106988400
"2007-07-31",5.10607,5.12429,4.69714,4.70571,4.02347,1762392800
"2007-08-01",4.77286,4.835,4.56321,4.82143,4.12241,1750156800
"2007-08-02",4.88036,4.89143,4.79107,4.87464,4.16791,852644800
"2007-08-03",4.83071,4.85536,4.69643,4.70893,4.02622,679187600
"2007-08-06",4.74643,4.83107,4.58214,4.83036,4.13004,925170400
"2007-08-07",4.81929,4.90143,4.73679,4.8225,4.12332,949936400
"2007-08-08",4.88429,4.88786,4.71429,4.78607,4.09218,808096800
"2007-08-09",4.6825,4.75,4.4675,4.51393,3.85949,1125395600
"2007-08-10",4.39714,4.5625,4.29643,4.46429,3.81704,1410749200
"2007-08-13",4.58286,4.61964,4.51786,4.56393,3.90224,752911600
"2007-08-14",4.58179,4.58214,4.41821,4.42964,3.78742,739006800
"2007-08-15",4.38357,4.45929,4.27321,4.28214,3.66131,992852000
"2007-08-16",4.17893,4.23214,3.98643,4.18036,3.57428,1866690000
"2007-08-17",4.3575,4.41071,4.27929,4.35929,3.72727,1195062400
"2007-08-20",4.42714,4.44643,4.30357,4.365,3.73215,803317200
"2007-08-21",4.36464,4.60571,4.32143,4.55607,3.89552,1303047200
"2007-08-22",4.68643,4.74107,4.65464,4.7325,4.04637,1061765600
"2007-08-23",4.75321,4.76214,4.63429,4.68107,4.0024,866838000
"2007-08-24",4.66179,4.83464,4.63607,4.83214,4.13157,911834000
"2007-08-27",4.76393,4.80929,4.71786,4.72321,4.03843,707439600
"2007-08-28",4.67821,4.72893,4.5225,4.52929,3.87262,1179365600
"2007-08-29",4.63857,4.79214,4.62643,4.78857,4.09431,1166860800
"2007-08-30",4.73821,4.9375,4.725,4.86607,4.16058,1435582400
"2007-08-31",4.98179,4.9875,4.9075,4.94571,4.22868,876887200
"2007-09-04",4.99786,5.20464,4.99429,5.14857,4.40212,1316842800
"2007-09-05",5.1775,5.20857,4.86071,4.88429,4.17615,2328222400
"2007-09-06",4.84143,4.91321,4.73964,4.82179,4.12271,1901261600
"2007-09-07",4.71464,4.725,4.64286,4.70607,4.02377,1430576000
"2007-09-10",4.8925,4.93,4.78393,4.8825,4.17462,1487838800
"2007-09-11",4.925,4.93929,4.77679,4.83893,4.13737,971885600
"2007-09-12",4.85679,4.97857,4.84821,4.8875,4.1789,1022770000
"2007-09-13",4.95821,4.96429,4.88036,4.9,4.18959,656163200
"2007-09-14",4.8775,4.96357,4.86429,4.9575,4.23875,607320000
"2007-09-17",4.96393,5.02107,4.91429,4.94321,4.22654,793371600
"2007-09-18",4.96643,5.10179,4.9225,5.03286,4.30318,1064089600
"2007-09-19",5.10786,5.11286,4.97857,5.0275,4.2986,1026880400
"2007-09-20",5.00536,5.06393,4.97571,5.01107,4.28455,691840800
"2007-09-21",5.04071,5.16607,5.01107,5.14821,4.40181,1138880400
"2007-09-24",5.24036,5.35179,5.2375,5.29571,4.52793,1052161600
"2007-09-25",5.24429,5.47214,5.24357,5.47071,4.67756,1192550800
"2007-09-26",5.51679,5.53571,5.40179,5.45607,4.66504,975268000
"2007-09-27",5.49179,5.51857,5.44,5.51786,4.71787,658198800
"2007-09-28",5.48,5.52143,5.45536,5.48107,4.68642,615101200
"2007-10-01",5.5225,5.62179,5.46179,5.58357,4.77405,837068400
"2007-10-02",5.59107,5.66393,5.5675,5.65893,4.83849,792069600
"2007-10-03",5.635,5.685,5.6075,5.64,4.8223,692518400
"2007-10-04",5.64286,5.64571,5.48214,5.58,4.771,656958400
"2007-10-05",5.65607,5.77071,5.63214,5.76607,4.93009,943471200
"2007-10-08",5.83893,5.99679,5.82036,5.99679,5.12736,835928800
"2007-10-09",6.07857,6.11107,5.95286,5.995,5.12583,1104286400
"2007-10-10",5.98393,5.99571,5.91429,5.95679,5.09316,667590000
"2007-10-11",6.05321,6.13857,5.47179,5.79393,4.95391,1643992000
"2007-10-12",5.82179,5.97429,5.77857,5.97321,5.1072,988176000
"2007-10-15",5.99929,6.05607,5.83929,5.96357,5.09896,1077930000
"2007-10-16",5.91214,6.07786,5.89821,6.05643,5.17836,1067830400
"2007-10-17",6.1675,6.18,6.04214,6.16964,5.27516,1127613200
"2007-10-18",6.125,6.22107,6.10893,6.19643,5.29806,823676000
"2007-10-19",6.22286,6.23679,6.07143,6.08643,5.20401,1291780000
"2007-10-22",6.08393,6.24643,6.07,6.22714,5.32432,1649499600
"2007-10-23",6.73429,6.73571,6.52714,6.64857,5.68465,1795164000
"2007-10-24",6.63607,6.68607,6.40143,6.64036,5.67762,1288481600
"2007-10-25",6.6025,6.63929,6.48786,6.52786,5.58144,973602000
"2007-10-26",6.6175,6.62036,6.53143,6.59643,5.64006,706876800
"2007-10-29",6.62321,6.66393,6.59643,6.61036,5.65197,540554000
"2007-10-30",6.64929,6.76321,6.5975,6.67857,5.7103,939414000
"2007-10-31",6.70107,6.79,6.60536,6.78393,5.80038,833310800
"2007-11-01",6.73571,6.78929,6.42857,6.69429,5.72373,805036400
"2007-11-02",6.7575,6.76571,6.55321,6.70964,5.73687,1002114400
"2007-11-05",6.6175,6.74857,6.58,6.64929,5.68526,804176800
"2007-11-06",6.68036,6.85714,6.61679,6.84964,5.85657,954727200
"2007-11-07",6.8075,6.88143,6.6475,6.65357,5.68892,994327600
"2007-11-08",6.66679,6.675,5.99179,6.26679,5.35821,1890378000
"2007-11-09",6.1125,6.25429,5.90036,5.90607,5.0498,1526380800
"2007-11-12",5.90286,5.98929,5.37964,5.49143,4.69527,1769065200
"2007-11-13",5.74464,6.10643,5.49143,6.07,5.18996,1739446800
"2007-11-14",6.32714,6.34179,5.84786,5.9325,5.07239,1449168000
"2007-11-15",5.9425,6.05679,5.725,5.86786,5.01712,1487410400
"2007-11-16",5.90357,5.965,5.69036,5.9425,5.08095,1383494000
"2007-11-19",5.93214,6.00714,5.78929,5.85536,5.00643,1154428800
"2007-11-20",5.91679,6.13536,5.84036,6.03036,5.15606,1543642800
"2007-11-21",5.92286,6.15536,5.88107,6.01643,5.14416,1217809600
"2007-11-23",6.14286,6.14464,6.0625,6.12643,5.23821,465757600
"2007-11-26",6.19964,6.33107,6.15536,6.16214,5.26874,1305754800
"2007-11-27",6.25786,6.27821,6.07179,6.24321,5.33806,1317030400
"2007-11-28",6.315,6.45,6.2625,6.43643,5.50326,1150912000
"2007-11-29",6.40821,6.61321,6.39821,6.58179,5.62755,1050926800
"2007-11-30",6.69071,6.70357,6.41786,6.50786,5.56433,1187802000
"2007-12-03",6.495,6.57643,6.34643,6.38786,5.46173,961469600
"2007-12-04",6.32679,6.46071,6.32107,6.42179,5.49074,773799600
"2007-12-05",6.53179,6.64286,6.51464,6.625,5.66449,892402000
